Alt,rho,p,T,Fc,N2,O2,AR,gamma,mu
-2000,1.478,127800,301.2,0,0.78084,0.20946,0.00934,1.4,0.00001851
0,1.225,101300,288.1,0,0.78084,0.20946,0.00934,1.4,0.00001789
2000,1.007,79500,275.2,0,0.78084,0.20946,0.00934,1.4,0.00001726
4000,0.8193,61660,262.2,0,0.78084,0.20946,0.00934,1.4,0.00001661
6000,0.6601,47220,249.2,0,0.78084,0.20946,0.00934,1.4,0.00001595
8000,0.5258,35650,236.2,0,0.78084,0.20946,0.00934,1.4,0.00001527
10000,0.4135,26500,223.3,0,0.78084,0.20946,0.00934,1.4,0.00001458
12000,0.3119,19400,216.6,0,0.78084,0.20946,0.00934,1.4,0.00001422
14000,0.2279,14170,216.6,0,0.78084,0.20946,0.00934,1.4,0.00001422
16000,0.1665,10350,216.6,0,0.78084,0.20946,0.00934,1.4,0.00001422
18000,0.1216,7565,216.6,0,0.78084,0.20946,0.00934,1.4,0.00001422
20000,0.08891,5529,216.6,0,0.78084,0.20946,0.00934,1.4,0.00001422
22000,0.06451,4047,218.6,0,0.78084,0.20946,0.00934,1.4,0.00001432
24000,0.04694,2972,220.6,0,0.78084,0.20946,0.00934,1.4,0.00001443
26000,0.03426,2188,222.5,0,0.78084,0.20946,0.00934,1.4,0.00001454
28000,0.02508,1616,224.5,0,0.78084,0.20946,0.00934,1.4,0.00001465
30000,0.01841,1197,226.5,0,0.78084,0.20946,0.00934,1.4,0.00001475
32000,0.01355,889,228.5,0,0.78084,0.20946,0.00934,1.4,0.00001486
34000,0.009887,663.4,233.7,0,0.78084,0.20946,0.00934,1.4,0.00001514
36000,0.007257,498.5,239.3,0,0.78084,0.20946,0.00934,1.4,0.00001543
38000,0.005366,377.1,244.8,0,0.78084,0.20946,0.00934,1.4,0.00001572
40000,0.003995,287.1,250.4,0,0.78084,0.20946,0.00934,1.4,0.00001601
42000,0.002995,220,255.9,0,0.78084,0.20946,0.00934,1.4,0.00001629
44000,0.002259,169.5,261.4,0,0.78084,0.20946,0.00934,1.4,0.00001657
46000,0.001714,131.3,266.9,0,0.78084,0.20946,0.00934,1.4,0.00001685
48000,0.001317,102.3,270.6,0,0.78084,0.20946,0.00934,1.4,0.00001704
50000,0.001027,79.77,270.6,0,0.78084,0.20946,0.00934,1.4,0.00001704
52000,0.0008055,62.21,269,0,0.78084,0.20946,0.00934,1.4,0.00001696
54000,0.0006389,48.33,263.5,0,0.78084,0.20946,0.00934,1.4,0.00001668
56000,0.0005044,37.36,258,0,0.78084,0.20946,0.00934,1.4,0.0000164
58000,0.0003962,28.72,252.5,0,0.78084,0.20946,0.00934,1.4,0.00001612
60000,0.0003096,21.96,247,0,0.78084,0.20946,0.00934,1.4,0.00001584
62000,0.0002407,16.69,241.5,0,0.78084,0.20946,0.00934,1.4,0.00001555
64000,0.000186,12.6,236,0,0.78084,0.20946,0.00934,1.4,0.00001526
66000,0.0001429,9.459,230.5,0,0.78084,0.20946,0.00934,1.4,0.00001497
68000,0.0001091,7.051,225.1,0,0.78084,0.20946,0.00934,1.4,0.00001467
70000,0.00008281,5.22,219.6,0,0.78084,0.20946,0.00934,1.4,0.00001438
72000,0.00006236,3.835,214.3,0,0.78084,0.20946,0.00934,1.4,0.00001408
74000,0.00004637,2.8,210.3,0,0.78084,0.20946,0.00934,1.4,0.00001387
76000,0.0000343,2.033,206.4,0,0.78084,0.20946,0.00934,1.4,0.00001365
78000,0.00002523,1.467,202.5,0,0.78084,0.20946,0.00934,1.4,0.00001343
80000,0.00001845,1.052,198.6,0,0.78084,0.20946,0.00934,1.4,0.00001321
82000,0.00001341,0.7498,194.7,0,0.78084,0.20946,0.00934,1.4,0.00001298
84000,0.00000969,0.5308,190.8,0,0.78084,0.20946,0.00934,1.4,0.00001276
86000,0.000006955,0.3732,186.9,0,0.78084,0.20946,0.00934,1.4,0.00001253
