,Case,Planform,Span,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,S_Vtail,cgx,RTG_h,PropD,Check,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater
0,1.0,1.3887847689303494,1.125,1241.6190769907807,4922.012581516424,LowClb,75.0,18192.12508181002,18192.12508181002,0.41437780479918385,1.5,11.015900101334722,0.21863924033120624,0.04133400571606126,0.21892861400617686,9.084892936107641,1.1843296375943042,Fuselage too big,1241.6190769907807,1022.0395487830049,0.0,52.254400000000004,1189.3646769907807,0.5588378529364951,22.991162650431004,16.231423952000878,0.8280314532563109,2.5480775900385697,124.15288759831536,0.014412712797626575,0.0,0.0002943979998598659
1,2.0,1.68638150512971,1.3660714285714286,1380.8451639719888,5488.9142271415085,LowClb,75.0,18192.12508181002,18192.12508181002,0.38668982072377867,1.5,12.085263575552007,0.24430559067104646,0.05562306706611047,0.24462254574636416,10.057041549032446,1.250416359301485,Fuselage too big,1380.8451639719888,1138.427878397753,0.0,52.254400000000004,1328.5907639719887,0.7183415325492598,25.614177164729877,21.896681808577924,1.065616655791888,2.7792962424518937,138.0787151826765,0.009762589458510955,0.0,0.0002943979998598659
2,3.0,1.9839782413290703,1.607142857142857,1507.1452129142633,5999.2695355911565,LowClb,75.0,18192.12508181002,18192.12508181002,0.3624444859982076,1.5,13.045405002128941,0.2682128357858616,0.07133524507580093,0.2685546918802766,10.929897391375112,1.3069089835054846,Fuselage too big,1507.1452129142633,1242.928601984749,0.0,52.254400000000004,1454.8908129142633,0.8918181277226166,28.001485257578594,28.052324592074644,1.3187492825383405,2.98363505872623,150.70795765558984,0.005946557284014323,0.0,0.0002943979998598659
3,4.0,2.2815749775284315,1.8482142857142856,1621.4875341641173,6459.309237641641,LowClb,75.0,18192.12508181002,18192.12508181002,0.34117787783169484,1.5,13.905438614771153,0.2909192638135653,0.08845148363064621,0.291283994066119,11.711746130140762,1.3555139779970202,Fuselage too big,1621.4875341641173,1336.5337025902572,0.0,52.254400000000004,1569.2331341641172,1.0794873654197004,30.165007003849755,34.552772808654936,1.5933124773555114,3.164356150867168,162.14144576123823,0.0027556084747622405,0.0,0.0002943979998598659
4,5.0,2.5791717137277916,2.0892857142857144,1719.9592477603298,6854.671662000086,LowClb,75.0,18192.12508181002,18192.12508181002,0.3214184808082099,1.5,14.637395449166675,0.3111505628801344,0.10729519641513456,0.3115386161240871,12.377161434136687,1.3955478542023365,Fuselage too big,1719.9592477603298,1416.199069286785,0.0,52.254400000000004,1667.7048477603298,1.2810963078964595,32.025071651466334,41.01482288989969,1.8797790333294904,3.3166104891551185,171.9879248073348,0.0001788964629660431,0.0,0.0002943979998598659
5,6.0,2.8767684499271526,2.330357142857143,1810.5091252988695,7215.072073690387,LowClb,75.0,18192.12508181002,18192.12508181002,0.30362236467149345,1.5,15.301830097875653,0.3338206713435272,0.12813401446664227,0.3342257923430441,12.981192932963035,1.430919142361032,Fuselage too big,1810.5091252988695,1488.5153964906885,0.0,52.254400000000004,1758.2547252988695,1.4902696054243654,33.72874942485053,47.640285645938626,2.385879719912069,3.4536833506936193,181.04223270837042,-0.002066045008347162,0.0,0.0002943979998598659
6,7.0,3.174365186126513,2.5714285714285707,1890.9034313583911,7532.166791291483,LowClb,75.0,18192.12508181002,18192.12508181002,0.28700347208412497,1.5,15.887026436374326,0.3360794204571233,0.14977487223088767,0.3365204890785226,13.513189604325465,1.4613632625520536,Fuselage too big,1890.9034313583911,1552.2075142567082,0.0,52.254400000000004,1838.649031358391,1.7221313394543294,35.240012285110794,54.19577149083077,2.632694863351248,3.5735750527986325,189.08101620108536,-0.003978528947917397,0.0,0.0002943979998598659
7,8.0,3.4719619223258738,2.8125,1957.5475327394718,7801.7400182497695,LowClb,75.0,18192.12508181002,18192.12508181002,0.2726336409737953,1.5,16.365304653476834,0.40873844991892827,0.19659010384277922,0.40914726131648493,13.947987983509561,1.4857819095039597,Fuselage too big,1957.5475327394718,1604.262782761578,0.0,52.254400000000004,1905.2931327394717,1.9690740762730397,36.48408169153134,60.28702895656119,2.879510006790428,3.671015014523538,195.74484723653998,-0.005501402325857215,0.0,0.0002943979998598659
8,9.0,3.7695586585252343,3.053571428571429,2023.6973017802036,8058.256623049599,LowClb,75.0,18192.12508181002,18192.12508181002,0.25856264260500206,1.5,16.836699262746365,0.4159003466000181,0.2134406841721603,0.41633513743739714,14.37652853739095,1.5094626266503395,Fuselage too big,2023.6973017802036,1655.5688470559794,0.0,52.254400000000004,1971.4429017802036,2.230771676743072,37.71692537110977,66.67631771734179,3.126325150229608,3.7665949229636415,202.36379574877117,-0.006970260934318117,0.0,0.0002943979998598659
9,10.0,4.067155394724595,3.294642857142857,2085.196816543555,8296.201677389103,LowClb,75.0,18192.12508181002,18192.12508181002,0.24597942601148046,1.5,17.27064682767505,0.4230779559227499,0.23029126450154142,0.4235382676298539,14.771026323689762,1.5309384047426748,Fuselage too big,2085.196816543555,1702.7992167480113,0.0,52.254400000000004,2032.9424165435553,2.5073988295074385,38.85798050103414,73.04507962089761,3.3731402936687878,3.854197793085345,208.51340491809043,-0.008296558739443094,0.0,0.0002943979998598659
10,11.0,4.364752130923955,3.535714285714286,2136.000222966862,8493.92489761466,LowClb,75.0,18192.12508181002,18192.12508181002,0.23425773150829393,1.5,17.623231757015358,0.4295166897711805,0.24714184483092239,0.43000447873205094,15.091558077635494,1.5481682562751844,Fuselage too big,2136.000222966862,1741.1741677938087,0.0,52.254400000000004,2083.7458229668623,2.799230943038299,39.79080942828149,78.8521676690867,3.6199554371079654,3.925114780281838,213.5934397583766,-0.00935724111909833,0.0,0.0002943979998598659
11,12.0,4.662348867123316,3.7767857142857144,2184.466130570198,8678.492042387275,LowClb,75.0,18192.12508181002,18192.12508181002,0.2232509796367271,1.5,17.956700769930208,0.43595268442715196,0.2639924251603035,0.436467285772675,15.394711725739905,1.5642893522014765,Fuselage too big,2184.466130570198,1777.4685637847008,0.0,52.254400000000004,2132.211730570198,3.1057674361937235,40.676838112829245,84.67213952304893,3.8667705805471466,3.991978888724498,218.439725170832,-0.010347324678375257,0.0,0.0002943979998598659
12,13.0,4.959945603322677,4.017857142857142,2180.666324616036,8690.83442889376,LowClb,75.0,18192.12508181002,18192.12508181002,0.21306709613736163,1.5,17.90112259933515,0.4373726755037904,0.2808430054896847,0.437930793130636,15.34418611610803,1.561614060045429,Fuselage too big,2180.666324616036,1771.4194975929302,0.0,52.254400000000004,2128.4119246160362,3.4096135256286333,40.54309231871545,86.10675895246278,4.902305045863391,3.980848650458957,218.05969729500185,-0.010183163024823734,0.0,0.0002943979998598659
13,14.0,5.257542339522037,4.258928571428571,2201.4692017448797,8781.37853972161,LowClb,75.0,18192.12508181002,18192.12508181002,0.20390379087825045,1.5,18.02966451328412,0.44138039792157485,0.29769358581906574,0.44197446121692774,15.461042401516186,1.5677945799316464,Fuselage too big,2201.4692017448797,1785.4098563537373,0.0,52.254400000000004,2149.21480174488,3.7407125474223313,40.89206856051544,89.63904123594779,5.396995723638112,4.00658254166293,220.13981271646335,-0.010562332507282736,0.0,0.0002943979998598659
14,15.0,5.555139075721398,4.5,2302.7408825357425,9128.171195004934,LowClb,75.0,18192.12508181002,18192.12508181002,0.19536768273400956,1.5,18.74091681518002,0.4531921535731595,0.3145441661484468,0.4537868219799239,16.107635403239733,1.6015617864285454,Fuselage too big,2302.7408825357425,1862.8217647910442,0.0,52.254400000000004,2250.4864825357427,4.091566936915178,42.78363695597611,100.6476985923676,5.739319477256588,4.148459361146042,230.26637154725805,-0.012629524220617989,0.0,0.0002943979998598659
