,Case,Planet,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,S_Vtail,cgx,RTG_h,PropD,PropBlade,Check,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels
0,1.0,E,0.5917873369149578,0.7692771522117096,0.0,1.0,1.4380748663101606,0.35,0.0,108.63582286518343,1854.902957120497,LowClb,75.0,27943.98514721707,27943.98514721707,0.44820737752140727,1.5,1.6929192217646387,0.1894250754213296,0.060870199689463035,0.1911046210148833,0.5481750968493713,0.7572603818384989,2.0,CL > CLmax,108.63582286518343,2.3439697754059748e-14,9.05911461200251,52.254400000000004,56.381422865183424,0.5273933443843868,3.021684814631876,0.11302541595605187,0.7509605891606875,1.261280828985782,10.857480652683918,0.13081563048184314,0.0,0.0002943979998598659,30.659372578896487
1,2.0,E,0.7185989091110202,1.1327896264082975,0.0,1.7857142857142856,1.5405469824293356,0.35,0.0,106.68360803052106,1753.5929079383213,LowClb,75.0,27943.98514721707,27943.98514721707,0.34528485393898056,1.5,1.595179078586622,0.17249183916503338,0.10512430205170939,0.17440273812463186,0.5481750968493713,0.7346702740001108,2.0,CL > CLmax,106.68360803052106,2.2086414392941562e-14,8.536089562809533,52.254400000000004,54.42920803052105,0.8019519805863499,2.844363901673615,0.11737176866100299,1.2446811400994449,1.2034786911404023,10.6625262907919,0.12918666758887173,0.0,0.0002943979998598659,28.889263629170046
2,3.0,E,0.8454104813070825,1.4744194336138587,0.0,2.571428571428571,1.6430190985485102,0.35,0.0,104.84541088936628,1645.0602622199094,LowClb,75.0,27943.98514721707,27943.98514721707,0.2716213118751877,1.5,1.496372536899889,0.17532686465968275,0.160766179407927,0.17747319783670643,0.5481750968493713,0.711104647905534,2.0,CL > CLmax,104.84541088936628,2.0718365968961346e-14,8.007358023792154,52.254400000000004,52.591010889366274,1.1211693827076554,2.6662938157750835,0.11570306843383517,1.8306000226453196,1.1443154981645736,10.478960782149134,0.12647407664541657,0.0,0.0002943979998598659,27.099841821053218
3,4.0,E,0.9722220535031452,1.8066234589628367,0.0,3.357142857142857,1.7454912146676858,0.35,0.0,-155.96585088069511,,LowCr,75.0,27943.98514721707,27943.98514721707,,-6.827344544261795,-8.878906572763844,-2.889084727645064,1.987965,-2.9099410035864763,0.54817509684937,3.103798960900522,2.0,Winglet sizing exceeded iter. lim,-155.96585088069511,-1.2293491843939446e-13,-47.512622715741536,52.254400000000004,-208.22025088069512,1.0059398621520452,0.0,0.0,14.674610103364293,0.0,-15.588298953840798,0.0,0.0,0.0002943979998598659,-160.80017357462887
4,5.0,E,1.0990336256992073,2.133808638671271,0.0,4.142857142857142,1.84796333078686,0.35,0.0,102.2845661750247,1441.101068533124,LowClb,75.0,27943.98514721707,27943.98514721707,0.17685156159333798,1.5,1.3107930477029786,0.19947224698735685,0.3326477441389101,0.20180246343378136,0.5481750968493713,0.6645886519647007,2.0,CL > CLmax,102.2845661750247,1.8148882983474206e-14,7.014288868065232,52.254400000000004,50.03016617502469,1.8730978483621084,2.336679525172369,0.10613217012620474,3.5928253208261913,1.030965130824159,10.219010322965902,0.11794169150942688,0.0,0.0002943979998598659,23.73893089917322
5,6.0,E,1.2258451978952698,2.457979987346951,0.0,4.928571428571429,1.9504354469060352,0.35,0.0,103.08476341790676,1411.9210348008892,LowClb,75.0,27943.98514721707,27943.98514721707,0.15388816724916937,1.5,1.2842550693552355,0.18292423536329921,0.41814013930510474,0.18594094256885518,0.5481750968493713,0.6576680154337073,2.0,CL > CLmax,103.08476341790676,1.7781445374238197e-14,6.872279382714564,52.254400000000004,50.83036341790675,2.3971535756067484,2.294262972639976,0.10906733447092308,4.469347200263986,1.0144931610175048,10.29884691657037,0.1162998566379874,0.0,0.0002943979998598659,23.258318619984824
6,7.0,E,1.352656770091332,2.780191946190902,0.0,5.714285714285714,2.0529075630252103,0.35,0.0,103.54815370984394,1352.9077547035358,LowClb,75.0,27943.98514721707,27943.98514721707,0.1314007118754057,1.5,1.2305547568668977,0.21010853194825216,0.5541093179240535,0.21263156965284863,0.5481750968493713,0.6434362531076946,2.0,CL > CLmax,103.54815370984394,1.7037925495768655e-14,6.584919372102177,52.254400000000004,51.29375370984394,2.8352218684137016,2.203553537553859,0.10730133516582067,5.83803063278126,0.9809414182018903,10.345091240161674,0.11261315256509455,0.0,0.0002943979998598659,22.285786754898584
7,8.0,E,1.4794683422873944,3.101055340503949,0.0,6.5,2.155379679144385,0.35,0.0,105.03536024114746,1329.6313519553423,LowClb,75.0,27943.98514721707,27943.98514721707,0.11671911123445919,1.5,1.209416188195573,0.22217102582388273,0.6881638611138705,0.22447087567509202,0.5481750968493713,0.6377469600034044,2.0,CL > CLmax,105.03536024114746,1.674524664007416e-14,6.471803097051789,52.254400000000004,52.780960241147454,3.357184054371511,2.1727241147427354,0.110088452146895,7.189258378436409,0.9676502102690092,10.49797623262998,0.11102158744968071,0.0,0.0002943979998598659,21.902959716049565
8,9.0,E,1.606279914483457,3.420949651749941,0.0,7.285714285714286,2.25785179526356,0.35,0.0,106.9676512188885,1316.6447897495823,LowClb,75.0,27943.98514721707,27943.98514721707,0.10534910629717922,1.5,1.1976041588821273,0.23547826873628186,0.8356650209295635,0.23738453789479144,0.5481750968493713,0.6345456222819645,2.0,CL > CLmax,106.9676512188885,1.6581700504257555e-14,6.408594808094388,52.254400000000004,54.7132512188885,3.909977958931596,2.159235724845375,0.1141147444175247,8.67073933973148,0.9602018906003784,10.690956444768569,0.11009626888977343,0.0,0.0002943979998598659,21.689039640609533
9,10.0,E,1.7330914866795195,3.7401235464199165,0.0,8.071428571428571,2.3603239113827352,0.35,0.0,109.27221954457788,1310.8968698216281,LowClb,75.0,27943.98514721707,27943.98514721707,0.09627090954827794,1.5,1.1924110706625164,0.2500113882840773,0.9968673671018954,0.2513388253645283,0.5481750968493713,0.6331330506263739,2.0,CL > CLmax,109.27221954457788,1.6509798421327122e-14,6.3808056609414265,52.254400000000004,57.017819544577875,4.490631702571973,2.1583402842708455,0.11918332160318387,10.285854512042631,0.9569223734421506,10.921115188196529,0.10968114786543444,0.0,0.0002943979998598659,21.594990955643826
10,11.0,E,1.8599030588755816,4.058746985573012,0.0,8.857142857142858,2.4627960275019087,0.35,0.0,111.92414989559975,1311.8527199020768,LowClb,75.0,27943.98514721707,27943.98514721707,0.08897169936300242,1.5,1.1932464158164946,0.26575626845244404,1.1712154205664154,0.26630847901176985,0.5481750968493713,0.63336048544406,2.0,CL > CLmax,111.92414989559975,1.652136438246563e-14,6.385275742793637,52.254400000000004,59.66974989559975,5.096038543679895,2.168975976092428,0.12536621918777033,12.030517120235105,0.9574501106514235,11.185964161568322,0.10974826824764472,0.0,0.0002943979998598659,21.610119355143656
11,12.0,E,1.986714631071644,4.376940183626913,0.0,9.642857142857142,2.565268143621085,0.35,0.0,114.87866438765592,1317.8807756206702,LowClb,75.0,27943.98514721707,27943.98514721707,0.0829759218493356,1.5,1.198728632245057,0.2827149036697789,1.3587028563163444,0.28228748740762966,0.5481750968493713,0.6348510762552422,2.0,CL > CLmax,114.87866438765592,1.65972696557095e-14,6.414612066887343,52.254400000000004,62.62426438765591,5.724104277881254,2.188634544921711,0.1325699729229886,13.902516223194127,0.9609116168528826,11.481031547379077,0.11018548423645563,0.0,0.0002943979998598659,21.709404255380203
12,13.0,E,2.1135262032677065,4.694790621202894,0.0,10.428571428571429,2.66774025974026,0.35,0.0,118.08799194066594,1326.2229799667261,LowClb,75.0,27943.98514721707,27943.98514721707,0.07782693538944464,1.5,1.2063119737430215,0.30098974102987364,1.5621073011426678,0.2993683387331918,0.5481750968493713,0.6369072036105552,2.0,CL > CLmax,118.08799194066594,1.6702266533524395e-14,6.455191888351243,52.254400000000004,65.83359194066594,6.36894000326508,2.2127239993799686,0.14044738204055232,15.931230845523071,0.9656942778788625,11.801546924572627,0.11078093956342329,0.0,0.0002943979998598659,21.84674128209123
13,14.0,E,2.240337775463769,5.012363505429148,0.0,11.214285714285714,2.7702123758594346,0.35,0.0,121.58017983848131,1339.0282612091055,LowClb,75.0,27943.98514721707,27943.98514721707,0.07354651977105928,1.5,1.217968211935707,0.32055329773846614,1.7787055827029514,0.3175230299267356,0.5481750968493713,0.6400547665353965,2.0,CL > CLmax,121.58017983848131,1.6863655627979282e-14,6.517566511059034,52.254400000000004,69.32577983848131,7.029969528594432,2.24485251440462,0.14948354795223043,18.090753980230293,0.9730332808766059,12.150310815566087,0.11167533718254671,0.0,0.0002943979998598659,22.057839924615585
14,15.0,E,2.367149347659831,5.329708450930311,0.0,12.0,2.872684491978609,0.35,0.0,125.26577722233233,1353.509303604901,LowClb,75.0,27943.98514721707,27943.98514721707,0.0698048440363666,1.5,1.2311314760750878,0.34126975575496366,2.0101655595096104,0.3366207983313435,0.5481750968493713,0.6435907681347444,2.0,CL > CLmax,125.26577722233233,1.7045910592609154e-14,6.588005500098581,52.254400000000004,73.01137722233233,7.707692323543391,2.2802248549689654,0.1592297651779202,20.367349986456553,0.9813033620904491,12.518390250029928,0.11265543594407026,0.0,0.0002943979998598659,22.296231346022587
